web_code,checklist/layoutexcavation,checklist/foundationcolumns,checklist/roof,checklist/walls,checklist/floor,checklist/toilet,checklist/completed,img_progress,img_cr,img_beamsTrusses,img_beneficiary,handover,occupied,today,start_time,end_time,deviceid,meta/instanceID,_uuid,_submission_time
A_PH072209001_00008,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1404932408858.jpg,n/a,n/a,n/a,null,null,7/10/14,n/a,n/a,n/a,uuid:ce43ab1e-f4e5-4804-83ac-6e3f6f03a540,ce43ab1e-f4e5-4804-83ac-6e3f6f03a540,2014-07-14T06:48:53
A_PH072209001_00001,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1404715008957.jpg,n/a,n/a,n/a,null,null,7/7/14,n/a,n/a,n/a,uuid:ec0bb8c7-c5da-4ffd-ae6e-c64ed6fd3294,ec0bb8c7-c5da-4ffd-ae6e-c64ed6fd3294,2014-07-07T08:57:01
A_PH072209001_00002,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1404716915305.jpg,n/a,n/a,n/a,null,null,7/7/14,n/a,n/a,n/a,uuid:edc43dcd-d6a9-49f1-82fc-afadad4a6bb3,edc43dcd-d6a9-49f1-82fc-afadad4a6bb3,2014-07-07T09:06:41
A_PH072209003_00012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1404762286118.jpg,n/a,n/a,n/a,null,null,7/8/14,n/a,n/a,n/a,uuid:6317b97a-ee09-462c-9d42-33ff64eff5a3,6317b97a-ee09-462c-9d42-33ff64eff5a3,2014-07-08T09:10:40
A_PH072209003_00013,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1404760004548.jpg,n/a,n/a,n/a,null,null,7/8/14,n/a,n/a,n/a,uuid:3b5604f6-987a-4c62-a2a9-d4afea6a6569,3b5604f6-987a-4c62-a2a9-d4afea6a6569,2014-07-08T09:09:27
A_PH072209009_00014,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1404757042329.jpg,n/a,n/a,n/a,null,null,7/8/14,n/a,n/a,n/a,uuid:d864bc54-4fcb-4d4b-9e37-7ccd83e3410e,d864bc54-4fcb-4d4b-9e37-7ccd83e3410e,2014-07-08T09:14:04
A_PH072209009_00015,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1404755765500.jpg,n/a,n/a,n/a,null,null,7/8/14,n/a,n/a,n/a,uuid:6d2c2993-a39b-40e8-9a92-5e1eaa342403,6d2c2993-a39b-40e8-9a92-5e1eaa342403,2014-07-08T09:12:22
A_PH072209009_00131,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1406592838460.jpg,n/a,n/a,n/a,null,null,7/29/14,2014-07-29T08:13:13.448+08,2014-07-29T08:14:08.167+08,3.53E+14,uuid:a53d9517-aeaf-42d6-a95f-1df90987fc85,a53d9517-aeaf-42d6-a95f-1df90987fc85,2014-07-29T01:25:25
A_PH072209012_00020,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1404703732411.jpg,n/a,1404703756882.jpg,n/a,null,null,7/7/14,n/a,n/a,n/a,uuid:04af7e7b-076a-4dcb-acad-194fd8a20fb4,04af7e7b-076a-4dcb-acad-194fd8a20fb4,2014-07-07T08:53:15
A_PH072209012_00019,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1168447929700.jpg,n/a,1168447994764.jpg,n/a,null,null,1/11/07,n/a,n/a,n/a,uuid:f6d95191-3425-4ccb-8eeb-c3929958d831,f6d95191-3425-4ccb-8eeb-c3929958d831,2014-07-08T00:08:06
