web_code,province,municipality,barangay,_location_latitude,_location_longitude,today,meta/instanceID,_uuid,_submission_time
A_PH072209009_00131,Cebu,Bantayan,Guiwanon,11.19986311,123.7087468,7/29/14,uuid:8e44cda4-f1e2-45c4-8e7d-0ce2d38d2cc7,8e44cda4-f1e2-45c4-8e7d-0ce2d38d2cc7,2014-07-29T01:24:20
A_PH072209012_00019,Cebu,Bantayan,Kangkaibe,11.18702589,123.7404893,1/11/07,uuid:c82b4f68-0b83-4dce-bedb-f422c8b5de92,c82b4f68-0b83-4dce-bedb-f422c8b5de92,2014-07-08T00:08:08
A_PH072209012_00020,Cebu,Bantayan,Kangkaibe,11.18712435,123.7404087,7/7/14,uuid:b5c7e29f-c990-47f2-9c80-86a832483d47,b5c7e29f-c990-47f2-9c80-86a832483d47,2014-07-07T09:09:38
A_PH072209009_00148,Cebu,Bantayan,Guiwanon,11.20206461,123.7030485,7/28/14,uuid:a9f5dbe6-bbda-41a8-988c-7ad90600c288,a9f5dbe6-bbda-41a8-988c-7ad90600c288,2014-07-29T01:34:07
A_PH072209001_00005,Cebu,Bantayan,Atop-Atop,11.24545755,123.7551255,1/8/07,uuid:c20ee93d-8e0a-4810-ad73-6c038200fc5a,c20ee93d-8e0a-4810-ad73-6c038200fc5a,2014-07-04T13:22:44
A_PH072209012_00016,Cebu,Bantayan,Kangkaibe,11.17974864,123.7377048,7/10/14,uuid:5b2fe299-12af-4e61-b8b5-af4988424ed3,5b2fe299-12af-4e61-b8b5-af4988424ed3,2014-07-14T06:42:36
A_PH072209009_00106,Cebu,Bantayan,Guiwanon,11.20113956,123.7164226,7/29/14,uuid:83ff333c-c25a-445d-a73c-7f7839a267d9,83ff333c-c25a-445d-a73c-7f7839a267d9,2014-07-29T01:35:23
A_PH072209001_00004,Cebu,Bantayan,Atop-Atop,11.24397155,123.755267,1/8/07,uuid:4b5ac694-562f-412f-b7dc-04749f6c5a42,4b5ac694-562f-412f-b7dc-04749f6c5a42,2014-07-04T13:22:31
A_PH072209001_00011,Cebu,Bantayan,Atop-Atop,11.24528515,123.7542449,7/10/14,uuid:340c0ff5-c16b-48b2-8de2-88bb697290dc,340c0ff5-c16b-48b2-8de2-88bb697290dc,2014-07-14T06:40:32
A_PH072209001_00006,Cebu,Bantayan,Atop-Atop,11.24427217,123.755522,1/8/07,uuid:8aff80f9-26c7-4278-ad63-36ab2c5737b9,8aff80f9-26c7-4278-ad63-36ab2c5737b9,2014-07-04T13:22:39
A_PH072209009_00128,Cebu,Bantayan,Guiwanon,11.197788,123.7046607,7/29/14,uuid:b7b91de1-5f6e-4e4f-a662-c052bb5ff860,b7b91de1-5f6e-4e4f-a662-c052bb5ff860,2014-07-30T09:39:22
A_PH072209012_00021,Cebu,Bantayan,Kangkaibe,11.18607867,123.7415547,7/10/14,uuid:468f6909-7a3e-40b2-9c62-0bb93aa84991,468f6909-7a3e-40b2-9c62-0bb93aa84991,2014-07-14T06:42:10
A_PH072209012_00028,Cebu,Bantayan,Kangkaibe,11.19050538,123.7358248,7/28/14,uuid:0766381e-57df-4c36-ab7b-2370e0bd57bc,0766381e-57df-4c36-ab7b-2370e0bd57bc,2014-07-28T08:35:30
A_PH072209009_00014,Cebu,Bantayan,Guiwanon,11.19371536,123.7141213,7/8/14,uuid:09a3a727-f1fc-415c-9822-961e118a56e5,09a3a727-f1fc-415c-9822-961e118a56e5,2014-07-08T09:12:22
A_PH072209001_00009,Cebu,Bantayan,Atop-Atop,11.23537972,123.7587445,1/8/07,uuid:c89c7a1d-a911-4115-a222-fca9c8e7c225,c89c7a1d-a911-4115-a222-fca9c8e7c225,2014-07-04T13:26:08
A_PH072209003_00012,Cebu,Bantayan,Baod,11.21304111,123.7123489,7/8/14,uuid:2aa41b29-5a71-4fba-8d3f-23d6d6ad4610,2aa41b29-5a71-4fba-8d3f-23d6d6ad4610,2014-07-08T09:09:27
A_PH072209001_00008,Cebu,Bantayan,Atop-Atop,11.24545465,123.7552278,7/10/14,uuid:6d72c4ba-a0c3-4801-9ef0-55fbe6b42057,6d72c4ba-a0c3-4801-9ef0-55fbe6b42057,2014-07-14T06:40:32
A_PH072209001_00003,Cebu,Bantayan,Atop-Atop,11.24313011,123.7541836,1/8/07,uuid:692bdc16-e7dd-49ae-b2df-ba5820909225,692bdc16-e7dd-49ae-b2df-ba5820909225,2014-07-07T02:01:09
A_PH072209001_00001,Cebu,Bantayan,Atop-Atop,11.24765171,123.754438,1/11/07,uuid:09bf064d-00ef-4acd-b40d-f13d85fefb02,09bf064d-00ef-4acd-b40d-f13d85fefb02,2014-07-08T00:08:10
A_PH072209012_00038,Cebu,Bantayan,Kangkaibe,11.17843235,123.7379126,7/27/14,uuid:158b565a-2c02-4228-ba9c-3746c9b5d202,158b565a-2c02-4228-ba9c-3746c9b5d202,2014-07-28T08:32:46
