admin2,admin3,admin4,partner,province,municipality,barangay,male_young,male_child,male_adult,male_senior,female_young,female_child,female_adult,female_senior,hh_males,hh_females,hh_total,confirm,vulnerabilities/single_headed,vulnerabilities/single_headed_sex,vulnerabilities/pregnant_lactating,vulnerabilities/disabled_ill_male,vulnerabilities/disabled_ill_female
PH072200000,PH072209000,PH072209012,German Red Cross,Cebu,Bantayan,Kangkaibe,2,0,1,0,1,0,1,0,3,2,5,OK,no,,1,0,0
PH072200000,PH072209000,PH072209012,German Red Cross,Cebu,Bantayan,Kangkaibe,2,1,1,0,0,0,1,0,4,1,5,OK,no,,1,0,0
PH072200000,PH072209000,PH072209012,German Red Cross,Cebu,Bantayan,Kangkaibe,1,1,2,0,0,1,2,0,4,3,7,OK,yes,female,0,0,0
PH072200000,PH072209000,PH072209012,German Red Cross,Cebu,Bantayan,Kangkaibe,0,3,1,0,0,1,1,0,4,2,6,OK,no,,0,0,0
PH072200000,PH072209000,PH072209012,German Red Cross,Cebu,Bantayan,Kangkaibe,0,1,0,0,0,0,3,0,1,3,4,OK,yes,female,0,0,0
PH072200000,PH072209000,PH072209012,German Red Cross,Cebu,Bantayan,Kangkaibe,1,0,1,0,1,0,1,0,2,2,4,OK,no,,1,0,0
PH072200000,PH072209000,PH072209012,German Red Cross,Cebu,Bantayan,Kangkaibe,1,2,1,0,0,1,1,0,4,2,6,OK,no,,1,0,0
PH072200000,PH072209000,PH072209012,German Red Cross,Cebu,Bantayan,Kangkaibe,1,1,1,0,0,3,1,0,3,4,7,OK,no,,0,0,0
PH083700000,PH083736000,PH083736022,Netherlands Red Cross,Leyte,Merida,Tubod,2,1,1,0,0,0,1,0,4,1,5,OK,no,,0,0,0
PH083700000,PH083722000,PH083722017,Netherlands Red Cross,Leyte,Isabel,Puting Bato,0,0,0,0,2,2,2,0,0,6,6,OK,yes,female,1,0,0
PH083700000,PH083736000,PH083736020,Netherlands Red Cross,Leyte,Merida,San Jose,0,2,3,0,1,1,1,0,5,3,8,OK,no,,0,0,0
PH083700000,PH083736000,PH083736005,Netherlands Red Cross,Leyte,Merida,Cambalong,0,0,3,0,0,0,1,0,3,1,4,OK,no,,0,0,0
PH083700000,PH083736000,PH083736004,Netherlands Red Cross,Leyte,Merida,Calunasan,0,0,1,0,1,0,1,0,1,2,3,OK,no,,0,0,0
PH083700000,PH083722000,PH083722007,Netherlands Red Cross,Leyte,Isabel,Can-Andan,0,0,1,0,0,3,1,0,1,4,5,OK,no,,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,1,0,1,0,1,0,2,2,4,OK,no,,1,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,2,1,0,0,0,1,0,3,1,4,OK,no,,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,0,1,0,1,0,1,0,1,2,3,OK,no,,1,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,1,0,0,0,1,0,2,1,3,OK,no,,1,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,2,0,1,0,1,0,1,0,3,2,5,OK,no,,1,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,0,0,0,0,2,0,1,0,3,3,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,2,0,0,1,1,0,3,2,5,OK,no,,0,1,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,0,1,0,0,1,1,0,1,2,3,OK,no,,0,0,0
PH083700000,PH083746000,PH083746010,IFRC,Leyte,Tabontabon,Mering,0,0,0,1,0,0,0,0,1,0,1,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746010,IFRC,Leyte,Tabontabon,Mering,0,2,1,0,2,2,1,0,3,5,8,OK,no,,1,0,0
PH083700000,PH083746000,PH083746010,IFRC,Leyte,Tabontabon,Mering,0,1,1,0,2,0,1,0,2,3,5,OK,no,,1,0,0
PH083700000,PH083746000,PH083746010,IFRC,Leyte,Tabontabon,Mering,2,1,2,0,0,2,2,0,5,4,9,OK,no,,1,0,0
PH083700000,PH083746000,PH083746010,IFRC,Leyte,Tabontabon,Mering,2,0,1,0,0,2,1,0,3,3,6,OK,no,,2,0,0
PH083700000,PH083746000,PH083746010,IFRC,Leyte,Tabontabon,Mering,1,0,1,0,1,1,1,0,2,3,5,OK,no,,1,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,2,1,0,0,2,2,0,3,4,7,OK,no,,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,0,1,0,2,1,1,0,1,4,5,OK,no,,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,1,0,0,0,1,0,2,1,3,OK,no,,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,1,0,1,0,0,0,2,1,3,OK,no,,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,1,1,0,0,2,1,0,2,3,5,OK,no,,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,0,2,0,0,0,0,3,0,3,OK,no,,1,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,1,0,0,1,1,0,2,2,4,OK,no,,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,0,0,0,0,0,0,1,0,1,1,OK,no,,0,0,0
PH083700000,PH083746000,PH083746010,IFRC,Leyte,Tabontabon,Mering,0,2,1,0,0,0,0,0,3,0,3,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746010,IFRC,Leyte,Tabontabon,Mering,0,0,0,0,0,0,0,1,0,1,1,OK,no,,0,0,0
